INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA
RESOLUÇÃO Nº 05 , DE 10 DE OUTUBRO DE 2002
Área Territorial
: UF – Rio Grande do Sul – RS - 43
MUNICÍPIO CODMUNIC ÁREA (km²)
RIO GRANDE DO SUL (**) 281.748,538
Aceguá 4300034 1.549,522
Água Santa 4300059 291,792
Agudo 4300109 536,117
Ajuricaba 4300208 323,239
Alecrim 4300307 314,745
Alegrete 4300406 7.803,967
Alegria 4300455 172,686
Almirante Tamandaré do Sul 4300471 265,368
Alpestre 4300505 328,749
Alto Alegre 4300554 114,523
Alto Feliz 4300570 79,204
Alvorada 4300604 70,811
Amaral Ferrador 4300638 506,460
Ametista do Sul 4300646 93,490
André da Rocha 4300661 329,736
Anta Gorda 4300703 242,963
Antônio Prado 4300802 347,616
Arambaré 4300851 519,124
Araricá 4300877 35,292
Aratiba 4300901 341,072
Arroio do Meio 4301008 157,955
Arroio do Padre 4301073 124,321
Arroio do Sal 4301057 120,939
Arroio do Tigre 4301206 318,524
Arroio dos Ratos 4301107 425,938
Arroio Grande 4301305 2.518,480
Arvorezinha 4301404 271,643
Augusto Pestana 4301503 347,439
Áurea 4301552 158,291
Bagé 4301602 4.095,526
Balneário Pinhal 4301636 103,759
Barão 4301651 124,497
Barão de Cotegipe 4301701 259,907
Barão do Triunfo 4301750 436,679
Barra do Guarita 4301859 64,590
Barra do Quaraí 4301875 1.056,146
Barra do Ribeiro 4301909 730,816
Barra do Rio Azul 4301925 147,571
Barra Funda 4301958 60,033
Barracão 4301800 516,288
Barros Cassal 4302006 648,897
Benjamin Constant do Sul 4302055 132,396
Bento Gonçalves (***) 4302105 382,513
Boa Vista das Missões 4302154 195,358
Boa Vista do Buricá 4302204 108,732
Boa Vista do Cadeado 4302220 701,111
Boa Vista do Incra 4302238 503,475
Boa Vista do Sul 4302253 94,349
Bom Jesus 4302303 2.625,681
Bom Princípio 4302352 88,242
Bom Progresso 4302378 88,757
Bom Retiro do Sul 4302402 102,327
Boqueirão do Leão 4302451 265,527
Bossoroca 4302501 1.596,219
Bozano 4302584 201,039
Braga 4302600 128,992
Brochier 4302659 109,695
Área Territorial
: UF – Rio Grande do Sul – RS - 43
MUNICÍPIO CODMUNIC ÁREA (km²)
Butiá 4302709 768,889
Caçapava do Sul 4302808 3.047,120
Cacequi 4302907 2.370,016
Cachoeira do Sul 4303004 3.735,167
Cachoeirinha 4303103 43,766
Cacique Doble 4303202 203,908
Caibaté 4303301 258,940
Caiçara 4303400 189,238
Camaquã 4303509 1.679,556
Camargo 4303558 138,069
Cambará do Sul 4303608 1.212,534
Campestre da Serra 4303673 538,000
Campina das Missões 4303707 225,762
Campinas do Sul 4303806 261,321
Campo Bom 4303905 61,406
Campo Novo 4304002 222,103
Campos Borges 4304101 237,293
Candelária 4304200 943,731
Cândido Godói 4304309 246,275
Candiota 4304358 933,843
Canela 4304408 254,579
Canguçu 4304507 3.525,068
Canoas 4304606 131,097
Canudos do Vale 4304614 82,555
Capão Bonito do Sul 4304622 527,069
Capão da Canoa 4304630 97,096
Capão do Cipó 4304655 1.022,182
Capão do Leão 4304663 785,374
Capela de Santana 4304689 184,003
Capitão 4304697 74,619
Capivari do Sul 4304671 417,609
Caraá 4304713 294,336
Carazinho 4304705 665,092
Carlos Barbosa 4304804 229,906
Carlos Gomes 4304853 83,154
Casca 4304903 271,740
Caseiros 4304952 235,679
Catuípe 4305009 583,240
Caxias do Sul 4305108 1.643,913
Centenário 4305116 134,331
Cerrito 4305124 451,889
Cerro Branco 4305132 154,105
Cerro Grande 4305157 73,459
Cerro Grande do Sul 4305173 324,758
Cerro Largo 4305207 177,674
Chapada 4305306 684,040
Charqueadas 4305355 216,513
Charrua 4305371 198,125
Chiapetta 4305405 396,483
Chuí 4305439 203,201
Chuvisca 4305447 219,170
Cidreira 4305454 246,362
Ciríaco 4305504 273,872
Colinas 4305587 58,374
Colorado 4305603 286,178
Condor 4305702 465,188
Constantina 4305801 202,999
Coqueiro Baixo 4305835 112,322
Coqueiros do Sul 4305850 275,549
Coronel Barros 4305871 162,949
Coronel Bicaco 4305900 492,124
Área Territorial
: UF – Rio Grande do Sul – RS - 43
MUNICÍPIO CODMUNIC ÁREA (km²)
Coronel Pilar 4305934 105,379
Cotiporã 4305959 172,375
Coxilha 4305975 422,790
Crissiumal 4306007 362,151
Cristal 4306056 681,561
Cristal do Sul 4306072 97,716
Cruz Alta 4306106 1.360,373
Cruzaltense 4306130 165,717
Cruzeiro do Sul 4306205 155,220
David Canabarro 4306304 174,940
Derrubadas 4306320 361,284
Dezesseis de Novembro 4306353 216,848
Dilermando de Aguiar 4306379 602,571
Dois Irmãos 4306403 65,156
Dois Irmãos das Missões 4306429 225,682
Dois Lajeados 4306452 133,373
Dom Feliciano 4306502 1.260,176
Dom Pedrito 4306601 5.192,105
Dom Pedro de Alcântara 4306551 78,158
Dona Francisca 4306700 114,346
Doutor Maurício Cardoso 4306734 256,323
Doutor Ricardo 4306759 108,434
Eldorado do Sul 4306767 509,699
Encantado 4306809 139,158
Encruzilhada do Sul 4306908 3.438,503
Engenho Velho 4306924 71,193
Entre Rios do Sul 4306957 120,444
Entre-Ijuís 4306932 552,545
Erebango 4306973 151,775
Erechim 4307005 430,764
Ernestina 4307054 239,147
Erval Grande 4307203 285,913
Erval Seco 4307302 363,892
Esmeralda 4307401 833,349
Esperança do Sul 4307450 148,381
Espumoso 4307500 783,114
Estação 4307559 100,266
Estância Velha 4307609 52,378
Esteio 4307708 27,543
Estrela 4307807 184,178
Estrela Velha 4307815 281,668
Eugênio de Castro 4307831 419,376
Fagundes Varela 4307864 134,291
Farroupilha 4307906 361,788
Faxinal do Soturno 4308003 169,945
Faxinalzinho 4308052 143,381
Fazenda Vilanova 4308078 84,794
Feliz 4308102 96,232
Flores da Cunha 4308201 272,662
Floriano Peixoto 4308250 168,429
Fontoura Xavier 4308300 583,465
Formigueiro 4308409 581,989
Forquetinha 4308433 93,567
Fortaleza dos Valos 4308458 650,324
Frederico Westphalen 4308508 264,975
Garibaldi 4308607 167,697
Garruchos 4308656 799,849
Gaurama 4308706 204,149
General Câmara 4308805 494,025
Gentil 4308854 184,014
Getúlio Vargas 4308904 286,564
Área Territorial
: UF – Rio Grande do Sul – RS - 43
MUNICÍPIO CODMUNIC ÁREA (km²)
Giruá 4309001 855,923
Glorinha 4309050 323,641
Gramado 4309100 237,019
Gramado dos Loureiros 4309126 131,395
Gramado Xavier 4309159 217,524
Gravataí 4309209 463,758
Guabiju 4309258 148,393
Guaíba 4309308 376,973
Guaporé 4309407 297,661
Guarani das Missões 4309506 290,495
Harmonia 4309555 44,579
Herval 4307104 1.758,412
Herveiras 4309571 118,280
Horizontina 4309605 228,849
Hulha Negra 4309654 822,943
Humaitá 4309704 135,246
Ibarama 4309753 193,109
Ibiaçá 4309803 350,870
Ibiraiaras 4309902 300,650
Ibirapuitã 4309951 307,028
Ibirubá 4310009 611,807
Igrejinha 4310108 136,816
Ijuí 4310207 689,124
Ilópolis 4310306 116,481
Imbé 4310330 39,549
Imigrante 4310363 73,355
Independência 4310405 357,435
Inhacorá 4310413 114,135
Ipê 4310439 599,948
Ipiranga do Sul 4310462 159,230
Iraí 4310504 182,185
Itaara 4310538 171,079
Itacurubi 4310553 1.118,007
Itapuca 4310579 184,249
Itaqui 4310603 3.404,047
Itati 4310652 201,402
Itatiba do Sul 4310702 212,121
Ivorá 4310751 122,887
Ivoti 4310801 63,138
Jaboticaba 4310850 128,053
Jacuizinho 4310876 315,672
Jacutinga 4310900 179,296
Jaguarão 4311007 2.054,390
Jaguari 4311106 673,459
Jaquirana 4311122 907,936
Jari 4311130 856,459
Jóia 4311155 1.235,885
Júlio de Castilhos 4311205 1.929,383
Lagoa Bonita do Sul 4311239 108,500
Lagoa dos Três Cantos 4311270 138,636
Lagoa Vermelha 4311304 1.262,225
Lagoão 4311254 383,658
Lajeado 4311403 90,419
Lajeado do Bugre 4311429 67,903
Lavras do Sul 4311502 2.599,811
Liberato Salzano 4311601 245,629
Lindolfo Collor 4311627 33,055
Linha Nova 4311643 63,733
Maçambara 4311718 1.682,821
Machadinho 4311700 334,449
Mampituba 4311734 157,875
Área Territorial
